Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
ACHALPUR,42,PRAVIN VASANTRAO TAYADE,"Bharatiya Janata Party
i",BACCHU B. KADU,"Prahar Janshakti Party
i",12131,23/23,Result Declared
AHERI,69,ATRAM DHARAMRAOBABA BHAGWANTRAO,"Nationalist Congress Party
i",RAJE AMBRISH RAO RAJE SATYAVANRAO ATRAM,"Independent
i",16814,22/22,Result Declared
AHMADPUR,236,BABASAHEB MOHANRAO PATIL,"Nationalist Congress Party
i",JADHAV PATIL VINAYAKRAO KISHANRAO,"Nationalist Congress Party – Sharadchandra Pawar
i",31669,27/27,Result Declared
AHMEDNAGAR CITY,225,SANGRAM ARUNKAKA JAGTAP,"Nationalist Congress Party
i",ABHISHEK BALASAHEB KALAMKAR,"Nationalist Congress Party – Sharadchandra Pawar
i",39618,23/23,Result Declared
AIROLI,150,GANESH RAMCHANDRA NAIK,"Bharatiya Janata Party
i",CHOUGULE VIJAY LAXMAN,"Independent
i",91880,33/33,Result Declared
AKKALKOT,250,KALYANSHETTI SACHIN PANCHAPPA,"Bharatiya Janata Party
i",SIDDHARAM SATLINGAPPA MHETRE,"Indian National Congress
i",49572,26/26,Result Declared
AKKALKUWA,1,AMSHYA FULJI PADVI,"Shiv Sena
i",ADV K C PADAVI,"Indian National Congress
i",2904,27/27,Result Declared
AKOLA EAST,31,RANDHIR PRALHADRAO SAWARKAR,"Bharatiya Janata Party
i",GOPAL ALIAS ASHISH RAMRAO DATKAR,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",50613,26/26,Result Declared
AKOLA WEST,30,SAJID KHAN PATHAN,"Indian National Congress
i",AGRAWAL VIJAY KAMALKISHOR,"Bharatiya Janata Party
i",1283,22/22,Result Declared
AKOLE,216,DR. KIRAN YAMAJI LAHAMATE,"Nationalist Congress Party
i",AMIT ASHOK BHANGARE,"Nationalist Congress Party – Sharadchandra Pawar
i",5556,22/22,Result Declared
AKOT,28,PRAKASH GUNWANT BHARSAKLE,"Bharatiya Janata Party
i",GANGANE MAHESH SUDHAKARRAO,"Indian National Congress
i",18851,25/25,Result Declared
ALIBAG,192,MAHENDRA HARI DALVI,"Shiv Sena
i",CHITRALEKHA NRUPAL PATIL ALIAS CHIUTAI,"Peasants And Workers Party of India
i",29565,27/27,Result Declared
AMALNER,15,ANIL BHAIDAS PATIL,"Nationalist Congress Party
i",SHIRISH HIRALAL CHAUDHARI,"Independent
i",33435,24/24,Result Declared
AMBEGAON,196,DILIP DATTATRAY WALSE PATIL,"Nationalist Congress Party
i",DEVDATTA JAYVANTRAO NIKAM,"Nationalist Congress Party – Sharadchandra Pawar
i",1523,20/20,Result Declared
AMBERNATH,140,DR. BALAJI PRALHAD KINIKAR,"Shiv Sena
i",RAJESH DEVENDRA WANKHEDE,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",51375,27/27,Result Declared
AMGAON,66,SANJAY PURAM,"Bharatiya Janata Party
i",RAJKUMAR LOTUJI PURAM,"Indian National Congress
i",32721,23/23,Result Declared
AMRAVATI,38,SULBHA SANJAY KHODKE,"Nationalist Congress Party
i",DR. SUNIL PANJABRAO DESHMUKH,"Indian National Congress
i",5413,25/25,Result Declared
ANDHERI EAST,166,MURJI PATEL (KAKA),"Shiv Sena
i",RUTUJA RAMESH LATKE,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",25486,19/19,Result Declared
ANDHERI WEST,165,AMEET BHASKAR SATAM,"Bharatiya Janata Party
i",ASHOK BHAU JADHAV,"Indian National Congress
i",19599,22/22,Result Declared
ANUSHAKTI NAGAR,172,SANA MALIK,"Nationalist Congress Party
i",FAHAD AHMAD,"Nationalist Congress Party – Sharadchandra Pawar
i",3378,19/19,Result Declared
ARJUNI MORGAON,63,BADOLE RAJKUMAR SUDAM,"Nationalist Congress Party
i",BANSOD DILIP WAMAN,"Indian National Congress
i",16415,23/23,Result Declared
ARMORI,67,RAMDAS MALUJI MASRAM,"Indian National Congress
i",KRUSHNA DAMAJI GAJBE,"Bharatiya Janata Party
i",6210,23/23,Result Declared
ARNI,80,RAJU NARAYAN TODSAM,"Bharatiya Janata Party
i",JITENDRA SHIVAJI MOGHE,"Indian National Congress
i",29313,27/27,Result Declared
ARVI,44,SUMIT WANKHEDE,"Bharatiya Janata Party
i",MAYURA AMAR KALE,"Nationalist Congress Party – Sharadchandra Pawar
i",39574,23/23,Result Declared
ASHTI,231,DHAS SURESH RAMCHANDRA,"Bharatiya Janata Party
i",BHIMRAO ANANDRAO DHONDE,"Independent
i",77975,32/32,Result Declared
AURANGABAD CENTRAL,107,JAISWAL PRADEEP SHIVNARAYAN,"Shiv Sena
i",SIDDIQUI NASERUDDIN TAQUIUDDIN,"All India Majlis-E-Ittehadul Muslimeen
i",8119,23/23,Result Declared
AURANGABAD EAST,109,ATUL MORESHWAR SAVE,"Bharatiya Janata Party
i",IMTIAZ JALEEL SYED,"All India Majlis-E-Ittehadul Muslimeen
i",2161,24/24,Result Declared
AURANGABAD WEST,108,SANJAY PANDURANG SHIRSAT,"Shiv Sena
i",RAJU RAMRAO SHINDE,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",16351,30/30,Result Declared
AUSA,239,ABHIMANYU DATTATRAY PAWAR,"Bharatiya Janata Party
i",DINKAR BABURAO MANE,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",33462,23/23,Result Declared
BADNAPUR,102,KUCHE NARAYAN TILAKCHAND,"Bharatiya Janata Party
i",BABLU NEHRULAL CHOUDHARY,"Nationalist Congress Party – Sharadchandra Pawar
i",45531,27/27,Result Declared
BADNERA,37,RAVI GANGADHAR RANA,"Rashtriya Yuva Swabhiman Party
i",BAND PRITI SANJAY,"Independent
i",66974,25/25,Result Declared
BAGLAN,116,DILIP MANGLU BORSE,"Bharatiya Janata Party
i",CHAVAN DIPIKA SANJAY,"Nationalist Congress Party – Sharadchandra Pawar
i",129297,21/21,Result Declared
BALAPUR,29,NITIN BHIKANRAO DESHMUKH,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",S.N. KHATIB,"Vanchit Bahujan Aaghadi
i",11739,31/31,Result Declared
BALLARPUR,72,MUNGANTIWAR SUDHIR SACCHIDANAND,"Bharatiya Janata Party
i",RAWAT SANTOSHSINGH CHANDANSINGH,"Indian National Congress
i",25985,28/28,Result Declared
BARAMATI,201,AJIT ANANTRAO PAWAR,"Nationalist Congress Party
i",YUGENDRA SHRINIVAS PAWAR,"Nationalist Congress Party – Sharadchandra Pawar
i",100899,20/20,Result Declared
BARSHI,246,DILIP GANGADHAR SOPAL,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",RAJENDRA VITTHAL RAUT,"Shiv Sena
i",6472,24/24,Result Declared
BASMATH,92,CHANDRAKANT ALIAS RAJUBHAIYA RAMAKANT NAVGHARE,"Nationalist Congress Party
i",DANDEGAONKAR JAYPRAKASH RAOSAHEB SALUNKE,"Nationalist Congress Party – Sharadchandra Pawar
i",29588,24/24,Result Declared
BEED,230,SANDEEP RAVINDRA KSHIRSAGAR,"Nationalist Congress Party – Sharadchandra Pawar
i",KSHIRSAGAR YOGESH BHARATBHUSHAN,"Nationalist Congress Party
i",5324,30/30,Result Declared
BELAPUR,151,MANDA VIJAY MHATRE,"Bharatiya Janata Party
i",SANDEEP GANESH NAIK,"Nationalist Congress Party – Sharadchandra Pawar
i",377,28/28,Result Declared
BHANDARA,61,BHONDEKAR NARENDRA BHOJRAJ,"Shiv Sena
i",PUJA GANESH (BALU) THAVAKAR,"Indian National Congress
i",38367,32/32,Result Declared
BHANDUP WEST,157,ASHOK DHARMARAJ PATIL,"Shiv Sena
i",RAMESH GAJANAN KORGAONKAR,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",6764,21/21,Result Declared
BHIWANDI EAST,137,RAIS KASAM SHAIKH,"Samajwadi Party
i",SANTOSH MANJAYYA SHETTY,"Shiv Sena
i",52015,25/25,Result Declared
BHIWANDI RURAL,134,SHANTARAM TUKARAM MORE,"Shiv Sena
i",GHATAL MAHADEV AMBO,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",57962,26/26,Result Declared
BHIWANDI WEST,136,CHOUGHULE MAHESH PRABHAKAR,"Bharatiya Janata Party
i",AZMI RIYAJ MUQEEMUDDIN,"Samajwadi Party
i",31293,22/22,Result Declared
BHOKAR,85,CHAVAN SREEJAYA ASHOKRAO,"Bharatiya Janata Party
i",KADAM KONDHEKAR TIRUPATI ALIAS PAPPU BABURAO,"Indian National Congress
i",50551,25/25,Result Declared
BHOKARDAN,103,DANVE SANTOSH RAOSAHEB,"Bharatiya Janata Party
i",CHANDRAKANT PUNDLIKRAO DANWE,"Nationalist Congress Party – Sharadchandra Pawar
i",23179,25/25,Result Declared
BHOR,203,SHANKAR HIRAMAN MANDEKAR,"Nationalist Congress Party
i",SANGRAM ANANTRAO THOPATE,"Indian National Congress
i",19638,24/24,Result Declared
BHOSARI,207,MAHESH (DADA) KISAN LANDGE,"Bharatiya Janata Party
i",AJIT DAMODAR GAVHANE,"Nationalist Congress Party – Sharadchandra Pawar
i",63765,24/24,Result Declared
BHUSAWAL,12,SAVKARE SANJAY WAMAN,"Bharatiya Janata Party
i",DR RAJESH TUKARAM MANWATKAR,"Indian National Congress
i",47488,23/23,Result Declared
BOISAR,131,VILAS SUKUR TARE,"Shiv Sena
i",RAJESH RAGHUNATH PATIL,"Bahujan Vikas Aaghadi
i",44455,29/29,Result Declared
BORIVALI,152,SANJAY UPADHYAY,"Bharatiya Janata Party
i",SANJAY WAMAN BHOSALE,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",100257,23/23,Result Declared
BRAHMAPURI,73,VIJAY NAMDEORAO WADETTIWAR,"Indian National Congress
i",KRISHNALAL BAJIRAO SAHARE,"Bharatiya Janata Party
i",13971,24/24,Result Declared
BULDHANA,22,GAIKWAD SANJAY RAMBHAU,"Shiv Sena
i",JAYSHREE SUNIL SHELKE,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",841,25/25,Result Declared
BYCULLA,184,MANOJ PANDURANG JAMSUTKAR,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",YAMINI YASHWANT JADHAV,"Shiv Sena
i",31361,19/19,Result Declared
CHALISGAON,17,MANGESH RAMESH CHAVAN,"Bharatiya Janata Party
i",UNMESH BHAIYYASAHEB PATIL,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",85653,25/25,Result Declared
CHANDGAD,271,SHIVAJI SHATTUPA PATIL,"Independent
i",RAJESH NARSINGRAO PATIL,"Nationalist Congress Party
i",24134,28/28,Result Declared
CHANDIVALI,168,DILIP BHAUSAHEB LANDE,"Shiv Sena
i",KHAN MOHD. ARIF (NASEEM),"Indian National Congress
i",20625,29/29,Result Declared
CHANDRAPUR,71,JORGEWAR KISHOR GAJANAN,"Bharatiya Janata Party
i",PRAVIN NANAJI PADWEKAR,"Indian National Congress
i",22804,28/28,Result Declared
CHANDVAD,118,DR.AHER RAHUL DAULATRAO,"Bharatiya Janata Party
i",GANESH RAMESH NIMBALKAR,"Prahar Janshakti Party
i",48961,22/22,Result Declared
CHARKOP,161,YOGESH SAGAR,"Bharatiya Janata Party
i",YASHWANT JAYPRAKASH SINGH,"Indian National Congress
i",91154,22/22,Result Declared
CHEMBUR,173,TUKARAM RAMKRUSHNA KATE,"Shiv Sena
i",PRAKASH VAIKUNTH PHATERPEKAR,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",10711,21/21,Result Declared
CHIKHLI,23,SHWETA VIDYADHAR MAHALE,"Bharatiya Janata Party
i",RAHUL SIDDHAVINAYAK BONDRE,"Indian National Congress
i",3201,23/23,Result Declared
CHIMUR,74,BANTI BHANGDIYA,"Bharatiya Janata Party
i",SATISH MANOHAR WARJUKAR,"Indian National Congress
i",9853,23/23,Result Declared
CHINCHWAD,205,JAGTAP SHANKAR PANDURANG,"Bharatiya Janata Party
i",KALATE RAHUL TANAJI,"Nationalist Congress Party – Sharadchandra Pawar
i",103865,24/24,Result Declared
CHIPLUN,265,SHEKHAR GOVINDRAO NIKAM,"Nationalist Congress Party
i",PRASHANT BABAN YADAV,"Nationalist Congress Party – Sharadchandra Pawar
i",6867,24/24,Result Declared
CHOPDA,10,CHANDRAKANT BALIRAM SONAWANE,"Shiv Sena
i",PRABHAKAR AAPPA GOTU SONAWANE,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",32313,25/25,Result Declared
COLABA,187,ADV RAHUL SURESH NARWEKAR,"Bharatiya Janata Party
i",HEERA NAWAJI DEVASI,"Indian National Congress
i",48581,19/19,Result Declared
DAHANU,128,VINOD BHIVA NIKOLE,"Communist Party of India (Marxist)
i",MEDHA VINOD SURESH,"Bharatiya Janata Party
i",5133,24/24,Result Declared
DAHISAR,153,CHAUDHARY MANISHA ASHOK,"Bharatiya Janata Party
i",GHOSALKAR VINOD RAMCHANDRA,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",44329,22/22,Result Declared
DAPOLI,263,KADAM YOGESHDADA RAMDAS,"Shiv Sena
i",KADAM SANJAY VASANT,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",24093,28/28,Result Declared
DARYAPUR,40,GAJANAN MOTIRAM LAWATE,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",BUNDILE RAMESH GANPATRAO,"Rashtriya Yuva Swabhiman Party
i",19709,25/25,Result Declared
DAUND,199,KUL RAHUL SUBHASHRAO,"Bharatiya Janata Party
i",RAMESHAPPA KISANRAO THORAT,"Nationalist Congress Party – Sharadchandra Pawar
i",13889,23/23,Result Declared
DEGLUR,90,ANTAPURKAR JITESH RAOSAHEB,"Bharatiya Janata Party
i",NIVRUTTI KONDIBA KAMBLE SANGVIKAR,"Indian National Congress
i",42999,26/26,Result Declared
DEOLALI,126,AHIRE SAROJ BABULAL,"Nationalist Congress Party
i",DR. AHIRRAO RAJASHRI TAHASILDARTAI,"Shiv Sena
i",40679,20/20,Result Declared
DEOLI,45,RAJESH BHAURAO BAKANE,"Bharatiya Janata Party
i",RANJIT PRATAPRAO KAMBLE,"Indian National Congress
i",9308,24/24,Result Declared
DHAMANGAON RAILWAY,36,ADSAD PRATAP ARUNBHAU,"Bharatiya Janata Party
i",JAGTAP VIRENDRA WALMIKRAO,"Indian National Congress
i",16228,27/27,Result Declared
DHARAVI,178,DR. GAIKWAD JYOTI EKNATH,"Indian National Congress
i",RAJESH SHIVDAS KHANDARE,"Shiv Sena
i",23459,19/19,Result Declared
DHULE CITY,7,AGRAWAL ANUPBHAIYYA OMPRAKASH,"Bharatiya Janata Party
i",SHAH FARUK ANWAR,"All India Majlis-E-Ittehadul Muslimeen
i",45750,21/21,Result Declared
DHULE RURAL,6,RAGHAVENDRA (RAMDADA) MANOHAR PATIL,"Bharatiya Janata Party
i",KUNALBABA ROHIDAS PATIL,"Indian National Congress
i",66320,28/28,Result Declared
DIGRAS,79,RATHOD SANJAY DULICHAND,"Shiv Sena
i",THAKARE MANIKRAO GOVINDRAO,"Indian National Congress
i",28775,29/29,Result Declared
DINDORI,122,NARAHARI SITARAM ZIRWAL,"Nationalist Congress Party
i",CHAROSKAR SUNITA RAMDAS,"Nationalist Congress Party – Sharadchandra Pawar
i",44403,32/32,Result Declared
DINDOSHI,159,SUNIL WAMAN PRABHU,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",SANJAY NIRUPAM,"Shiv Sena
i",6182,21/21,Result Declared
DOMBIVALI,143,CHAVAN RAVINDRA DATTATRAY,"Bharatiya Janata Party
i",DIPESH PUNDLIK MHATRE,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",77106,21/21,Result Declared
ERANDOL,16,AMOL CHIMANRAO PATIL,"Shiv Sena
i",ANNASAHEB DR. SATISH BHASKARRAO PATIL,"Nationalist Congress Party – Sharadchandra Pawar
i",56332,22/22,Result Declared
GADCHIROLI,68,DR. MILIND RAMJI NAROTE,"Bharatiya Janata Party
i",MANOHAR TULSHIRAM PORETI,"Indian National Congress
i",15505,26/26,Result Declared
GANGAKHED,97,GUTTE RATNAKAR MANIKRAO,"Rashtriya Samaj Paksha
i",KADAM VISHAL VIJAYKUMAR,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",26292,31/31,Result Declared
GANGAPUR,111,BUMB PRASHANT BANSILAL,"Bharatiya Janata Party
i",CHAVAN SATISH BHANUDASRAO,"Nationalist Congress Party – Sharadchandra Pawar
i",5015,27/27,Result Declared
GEORAI,228,VIJAYSINH SHIVAJIRAO PANDIT,"Nationalist Congress Party
i",BADAMRAO LAHURAO PANDIT,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",42390,29/29,Result Declared
GHANSAWANGI,100,UDHAN HIKMAT BALIRAM,"Shiv Sena
i",RAJESHBHAIYYA TOPE,"Nationalist Congress Party – Sharadchandra Pawar
i",2309,26/26,Result Declared
GHATKOPAR EAST,170,PARAG SHAH,"Bharatiya Janata Party
i",JADHAV RAKHEE HARISHCHANDRA,"Nationalist Congress Party – Sharadchandra Pawar
i",34999,19/19,Result Declared
GHATKOPAR WEST,169,RAM KADAM,"Bharatiya Janata Party
i",SANJAY DATTATRAY BHALERAO,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",12971,21/21,Result Declared
GONDIYA,65,AGRAWAL VINOD,"Bharatiya Janata Party
i",AGRAWAL GOPALDAS SHANKARLAL,"Indian National Congress
i",61608,26/26,Result Declared
GOREGAON,163,VIDYA THAKUR,"Bharatiya Janata Party
i",SAMEER KAMLAKAR DESAI,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",23600,26/26,Result Declared
GUHAGAR,264,JADHAV BHASKAR BHAURAO,"Shiv Sena (Uddhav Balasaheb Thackeray)
i",BENDAL RAJESH RAMCHANDRA,"Shiv Sena
i",2830,23/23,Result Declared
HADAPSAR,213,CHETAN VITTHAL TUPE,"Nationalist Congress Party
i",PRASHANT SUDAM JAGTAP,"Nationalist Congress Party – Sharadchandra Pawar
i",7122,23/23,Result Declared
HADGAON,84,KOHLIKAR BABURAO KADAM,"Shiv Sena
i",JAWALGAVKAR MADHAVRAO NIVRUTTIRAO PATIL,"Indian National Congress
i",30067,25/25,Result Declared
